Name;category;city;subname
2_Gwenaëlle JEZEQUEL _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;middle;UPSaclay;UPS05
2_Hana ILLICHOVÁ _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;middle;UPSaclay;UPS06
2_Ivan PALAIA _ _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;middle;UPSaclay;UPS07
2_Julie PALCZAK _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;middle;UPSaclay;UPS08
2_Khaoula BEN MESSAOUD _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;middle;UPSaclay;UPS09
2_Manon MARCHAND _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;middle;UPSaclay;UPS10
2_Marie CHOLLAT NAMY _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;middle;UPSaclay;UPS11
2_Pauline AGOU _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;middle;UPSaclay;UPS12
2_Pierre Walch _ Finale du concours Ma thèse en 180 secondes de l'Université Paris-Saclay_transcript.txt;middle;UPSaclay;UPS13
2_Raphaelle TAUB  _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;middle;UPSaclay;UPS14
2_Tracy DAGHER _ Finale du concours Ma thèse en 180 secondes de l'Université Paris-Saclay_transcript.txt;middle;UPSaclay;UPS15
3_Aurelien BIGO _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS01
3_Besnik SADRIJI  _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS02
3_Damien MAVALEIX MARCHESSOUX _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS03
3_Elies GHERBI _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS04
3_Gwenaëlle JEZEQUEL _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS05
3_Hana ILLICHOVÁ _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS06
3_Ivan PALAIA _ _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS07
3_Julie PALCZAK _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS08
3_Khaoula BEN MESSAOUD _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS09
3_Manon MARCHAND _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS10
3_Marie CHOLLAT NAMY _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS11
3_Pauline AGOU _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS12
3_Pierre Walch _ Finale du concours Ma thèse en 180 secondes de l'Université Paris-Saclay_transcript.txt;end;UPSaclay;UPS13
3_Raphaelle TAUB  _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;end;UPSaclay;UPS14
3_Tracy DAGHER _ Finale du concours Ma thèse en 180 secondes de l'Université Paris-Saclay_transcript.txt;end;UPSaclay;UPS15
4full_Aurelien BIGO _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS01
4full_Besnik SADRIJI  _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS02
4full_Damien MAVALEIX MARCHESSOUX _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS03
4full_Elies GHERBI _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS04
4full_Gwenaëlle JEZEQUEL _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS05
4full_Hana ILLICHOVÁ _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS06
4full_Ivan PALAIA _ _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS07
4full_Julie PALCZAK _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS08
4full_Khaoula BEN MESSAOUD _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS09
